iterations_per_move,runs,games,llm_wins,pure_wins,draws,llm_win_rate,llm_non_draw_win_rate,llm_first_win_rate,llm_second_win_rate
50,1,50,41,9,0,0.8200,0.8200,0.9600,0.6800
100,1,50,36,14,0,0.7200,0.7200,0.8400,0.6000
200,1,50,35,15,0,0.7000,0.7000,0.7200,0.6800
400,1,50,38,12,0,0.7600,0.7600,0.6800,0.8400
800,1,50,32,16,2,0.6400,0.6667,0.6800,0.6000
